GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
projectmangement,com.cognizant.projectmangement.exception,UserNotFoundException,0,16,0,0,0,2,0,1,0,1
projectmangement,com.cognizant.projectmangement.exception,ParentTaskNotFoundException,0,16,0,0,0,2,0,1,0,1
projectmangement,com.cognizant.projectmangement.exception,TaskCreationException,0,15,0,0,0,2,0,1,0,1
projectmangement,com.cognizant.projectmangement.exception,TaskNotFoundException,0,16,0,0,0,2,0,1,0,1
projectmangement,com.cognizant.projectmangement.exception,UserCreationException,0,15,0,0,0,2,0,1,0,1
projectmangement,com.cognizant.projectmangement.exception,ParentTaskCreationException,0,15,0,0,0,2,0,1,0,1
projectmangement,com.cognizant.projectmangement.exception,ProjectCreationException,0,15,0,0,0,2,0,1,0,1
projectmangement,com.cognizant.projectmangement.exception,ProjectNotFoundException,0,16,0,0,0,2,0,1,0,1
projectmangement,com.cognizant.projectmangement.service.impl,TaskServiceImpl,0,312,1,27,0,68,1,25,0,12
projectmangement,com.cognizant.projectmangement.service.impl,ParentTaskServiceImpl,0,173,0,12,0,37,0,16,0,10
projectmangement,com.cognizant.projectmangement.service.impl,ProjectServiceImpl,0,370,1,37,0,79,1,32,0,14
projectmangement,com.cognizant.projectmangement.service.impl,UserServiceImpl,0,162,0,10,0,34,0,14,0,9
projectmangement,com.cognizant.projectmangement.model,ParentTaskDetails,0,24,0,0,0,5,0,7,0,7
projectmangement,com.cognizant.projectmangement.model,ProjectDetails,3,49,0,0,1,8,1,14,1,14
projectmangement,com.cognizant.projectmangement.model,TaskDetails,0,66,0,0,0,11,0,19,0,19
projectmangement,com.cognizant.projectmangement.model,UserDetails,0,45,0,0,0,8,0,13,0,13
projectmangement,com.cognizant.projectmangement.request.converter,TaskDetailsToTaskConverter,0,10,0,0,0,2,0,2,0,2
projectmangement,com.cognizant.projectmangement.request.converter,ProjectDetailsToProjectConverter,0,8,0,0,0,2,0,2,0,2
projectmangement,com.cognizant.projectmangement.request.converter,UserDetailsToUserConverter,0,52,0,6,0,14,0,5,0,2
projectmangement,com.cognizant.projectmangement.request.converter,ParentTaskDetailsToParentTaskConverter,0,9,0,0,0,2,0,2,0,2
projectmangement,com.cognizant.projectmangement.response.converter,TaskToTaskDetailsConverter,0,11,0,0,0,2,0,2,0,2
projectmangement,com.cognizant.projectmangement.response.converter,UserToUserDetailsConverter,0,10,0,0,0,2,0,2,0,2
projectmangement,com.cognizant.projectmangement.response.converter,ParentTaskToParentTaskDetailsConverter,0,9,0,0,0,2,0,2,0,2
projectmangement,com.cognizant.projectmangement.response.converter,ProjectToProjectDetailsConverter,0,10,0,0,0,2,0,2,0,2
projectmangement,com.cognizant.projectmangement,ProjectmangementApplication,8,0,0,0,3,0,2,0,2,0
projectmangement,com.cognizant.projectmangement.config,CorsConfiguration,8,0,0,0,2,0,2,0,2,0
projectmangement,com.cognizant.projectmangement.config,LocalDateAttributeConverter,0,17,0,4,0,3,0,5,0,3
projectmangement,com.cognizant.projectmangement.config,WebConfig,44,0,0,0,10,0,2,0,2,0
projectmangement,com.cognizant.projectmangement.config,CorsConfiguration.new WebMvcConfigurerAdapter() {...},44,0,0,0,4,0,2,0,2,0
projectmangement,com.cognizant.projectmangement.resource,ParentTaskResource,0,103,0,0,0,18,0,8,0,8
projectmangement,com.cognizant.projectmangement.resource,TaskResource,0,103,0,0,0,16,0,8,0,8
projectmangement,com.cognizant.projectmangement.resource,UserResource,0,103,0,0,0,16,0,8,0,8
projectmangement,com.cognizant.projectmangement.resource,ProjectsResource,0,103,0,0,0,16,0,8,0,8
projectmangement,com.cognizant.projectmangement.jpa.model,ParentTask,0,24,0,0,0,5,0,7,0,7
projectmangement,com.cognizant.projectmangement.jpa.model,Project,0,38,0,0,0,7,0,11,0,11
projectmangement,com.cognizant.projectmangement.jpa.model,Task,0,59,0,0,0,10,0,17,0,17
projectmangement,com.cognizant.projectmangement.jpa.model,User,0,45,0,0,0,8,0,13,0,13
projectmangement,com.cognizant.projectmangement.util,RequestConversionUtils,0,135,0,26,0,34,0,17,0,4
projectmangement,com.cognizant.projectmangement.util,DateUtils,82,0,0,0,23,0,6,0,6,0
projectmangement,com.cognizant.projectmangement.util,ResponseConversionUtils,0,302,0,52,0,63,0,34,0,8
